MPEG Audio Decoder 0.14.2 (beta) - Copyright (C) 2000-2001 Robert Leslie
 00:00:00 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:01 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:02 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:03 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:04 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:05 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:06 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:07 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:08 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:09 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:10 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:11 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:12 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:13 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:14 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:15 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:16 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:17 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:18 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:19 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:20 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:21 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:22 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:23 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:24 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:25 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:26 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:27 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:28 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:29 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
 00:00:30 Layer II, 96 kbps, 44100 Hz, single channel, no CRC
1149 frames decoded (0:00:30.0), -2.0 dB peak amplitude, 0 clipped samples
